"","id","FullName","Role","Start_","End_"
"16",1,"GEORGE LORAINE","Consultant","1977","2000"
"27",2,"PETER SANDYS","Managing Director","1992","1998"
"28",3,"PETER SANDYS","Director","1989","1998"
"35",4,"PATRICK LITTAYE","Managing Director","1977","1985"
"58",5,"LISA ALEXANDER","CFO","2004","2006"
"60",6,"DAVID J TEAL","Director of Business Development","1992","2011"
"73",7,"MATTHEW GOLDSTEIN","President","1998","1999"
"112",8,"MICHAEL M DUNN","President","2006","2011"
"121",9,"JOHN A. DUBIA","EVP","1999","2011"
"133",10,"JOHN D HOPPER  JR","President","2005","2011"
"140",11,"JAMES J. LINDSAY","Board of Advisors","1990","2011"
"144",12,"PATRICK K GAMBLE","President","2001","2011"
"151",13,"WALTER E BUCHANAN III","SVP - Engineering and IT","2006","2011"
"159",14,"RONALD H. GRIFFITH","Board of Advisors","1997","2011"
"165",15,"JEAN KELLER","CEO","2005","2011"
"168",16,"TED UEMAE","Chairman","2002","2006"
"172",17,"PETER BEGLINGER","President.  Chairman.  Director","2001","2011"
"182",18,"COLBY M. BROADWATER","president","2006","2011"
"192",19,"EDWIN S. LELAND","President","1993","2011"
"198",20,"GEORGE E. LOUDON","Vice-Chairman","1983","1988"
"209",21,"JOHN A GORDON","Board of Advisors","2000","2011"
"211",22,"EDGAR R. ANDERSON  JR.","CEO","1997","2011"
"212",23,"ROBERT ANDRES","President","2007","2008"
"218",24,"KEITH DORRIAN","Director of the bank and fund management of ANZ Management Company Limited","1989","1999"
"228",25,"JAMES MICHAEL KEYES","Partner","1993","2008"
"230",26,"MICHAEL W PETERSON","VP","2009","2011"
"252",27,"CARL SMITH","Chairman","1991","2011"
"261",28,"LORD ANDREW TURNBULL","Non-executive director","2006","2007"
"302",29,"THOMAS R. WILSON","SVP","2002","2011"
"309",30,"FREDERICK MCCORKLE","Board of Advisors","2001","2011"
"310",31,"TERRANCE T. ETNYRE","Board of Advisors","2008","2011"
"314",32,"RICHARD I. NEAL","President","1998","2011"
"316",33,"HARRY E. SOYSTER","Board of Advisors","1991","2011"
"320",34,"DONALD W. JONES","Regional directors","1991","2011"
"332",35,"BENJAMIN S. GRIFFIN","Principle","2009","2011"
"334",36,"EDWARD D. BACA","Founder","1998","2011"
"336",37,"PHILIP J. G. CALDWELL","Investment Manager","1987","2009"
"338",38,"WILLIAM H. CAMPBELL","Director of C4I","2000","2011"
"343",39,"VERNON E. CLARK","Senior Advisor","2007","2011"
"346",40,"EDWARD ANDERSON","Principal","2004","2011"
"366",41,"DANIEL DE FERNANDO GARCIA","Consultant and formerly   Head of Private Banking and Personal Banking    Head of Asset Management and Private Banking","2002","2009"
"370",42,"JUERG W. STURZENEGGER","Managing Director and Head of Wealth Engineering in the Private Banking Division","1995","2008"
"379",43,"KEITH DORRIAN","Manager Corporate Clients and Head of Global Fund Services and Managing Director of Management International Limited","1999","2003"
"380",44,"MARTIN PAUL TOLCHER","Client Relationship Manager","1987","1998"
"384",45,"MICHAEL KIRBY","Senior positions","1995","2000"
"392",46,"JAMES J. SCHONBACHLER","Managing Director","1968","1998"
"393",47,"HENRY KELLY","Group Financial Controller","1987","1992"
"405",48,"PATRICK LITTAYE","Managing Director of Brokerage Activities","1985","1992"
